FormSelectOperation_KeyBoard#0,"""  Activate: <%NormalAttack>/<%Decide>  Cancel：[Esc]  """
FormSelectOperation_Pad#0,"""    Activate: <%Decide>  Cancel:<%Cancel>    """
message1#0,"""テストデータ"""
NameAK#0,"""AK"""
NameTE#0,"""TE"""
NameDE#0,"""DE"""
NameMA#0,"""MA"""
FormName#0,"""$(0) Fowm"""
DummyFormName#0,"""Dawk Bwast"""
CaptionHaveExp#0,"""EXP Weft"""
ToastCancelPollute#0,"""Dawk Bwast twansfowmation cancewwed."""
message1#1,"""テストデータ"""
message1#2,"""テストデータ"""
StatusDetailsFormTitle#0,"""Dawk Bwast Infowmation"""
StatusDetailsFormSubTitle#0,"""Status"""
PolluteListFormTitle#0,"""Dawk Bwast"""
PolluteListFormHaveExp#0,"""EXP Weft"""
PolluteListPopupSkill#0,"""Weawn Skiwws"""
PolluteListPopupTrans#0,"""Set Twiggew Action"""
PolluteListPopupColor#0,"""Change Cowows"""
PolluteListPopupResetSkillLevel#0,"""Weset Skiwws"""
FormDetailsText1#0,"""Fight by harnessing and<br>embodying the power of<br>the Dark Falz within you."""
FormDetailsText2#0,"""-"""
FormDetailsText3#0,"""-"""
FormDetailsText4#0,"""-"""
ResetSkillLevel_Title#0,"""Skiww Weset"""
ResetSkillLevel_Ask#0,"""Resetting all skill levels of<br>$(0).<br><pure_yellow><br>※EXP consumed to level up skills will be refunded.<br>※Skill unlock conditions will not be reset.<br><c><br>Continue with the reset?"""
ResetSkillLevel_Success#0,"""Successfully reset all skill levels of<br>$(0)."""
ResetSkillLevel_ErrorCommon#0,"""Could not execute processing due to an unexpected problem.<br><br>Please wait a while then try again."""
ResetSkillLevel_ErrorServer#0,"""Request could not be processed due to a problem with the server.<br><br>Please wait a while then try again."""
ResetSkillLevel_ErrorInQuest#0,"""Cannot be pewfowmed whiwe in a quest."""
message1#3,"""テストデータ"""
PolluteResultTitle#0,"""Dawk Bwast Wesuwt"""
BeforePolluteResultTitle#0,"""Wast Dawk Bwast Wesuwt"""
ExperienceTitle#0,"""Dawk Bwast EXP"""
GetPolluteExperienceText#0,"""EXP Gained"""
HavePolluteExperienceText#0,"""EXP Owned"""
message1#4,"""テストデータ"""
SkillList_Title#0,"""Dawk Bwast Skiwws"""
CaptionSkillName#0,"""Skiww Name"""
CaptionSkillLv#0,"""Skiww Wv"""
CaptionSkillCostExp#0,"""EXP Cost"""
CaptionSkillNextExp#0,"""Next"""
ItemSkillName#0,"""$(0)"""
ItemSkillName_MaxLv#0,"""<pure_orange>$(0)<c>"""
ItemSkillLv_NotRelease#0,"""Wock"""
ItemSkillLv_NotLearn#0,"""Weawn"""
ItemSkillLv#0,"""Wv."""
ItemSkillLv_MaxLv#0,"""<pure_orange>Lv.<c>"""
ItemSkillLv_Current#0,"""Wv.$(0)"""
ItemSkillLv_Current_MaxLv#0,"""<pure_orange>Lv.$(0)<c>"""
NoticeRelease#0,"""You may now weawn [$(0)]!"""
NoticeReleaseList_Title#0,"""Skiww Wewease"""
NoticeReleaseList_Msg#0,"""Fowwowing skiwws wewe weweased:"""
LevelUp_Title#0,"""Wevew Up Confiwmation"""
LevelUp_Ask#0,"""<pure_yellow>EXP Cost： $(0) EXP<c><br>EXP Remaining： $(1) EXP<br>By spending the above EXP, this will raise the level. Is that OK?"""
LevelUp_Success#0,"""Wevewed Up."""
LevelUp_SuccessSkillName#0,"""[$(0)] wevew has been incweased."""
LevelUp_Lack#0,"""Insufficient EXP.<br><br>You can check the status of each skill by pressing <%NextTabDetails>.<br><br>(EXP Cost: $(0) EXP)"""
LevelUp_Lack_v#0,"""Insufficient EXP.<br><br>You can check the status of each<br>skill by pressing <pict Sign_SELECT>.<br><br>(EXP Cost: $(0) EXP)"""
LevelUp_LackLv#0,"""Youw wevew is insufficient to weawn this."""
LevelUp_Max#0,"""It won't have any effect."""
LevelUp_Wait#0,"""Pwease Wait"""
LevelUp_InQuest#0,"""You cannot learn or upgrade skills<br>during a quest."""
LevelUp_LackPre#0,"""You cannot learn this skill as the requirements have not been met.<br><br>You can check the status of each skill by pressing <%NextTabDetails>."""
LevelUp_LackPre_v#0,"""You cannot learn this skill as the<br>requirements have not been met.<br><br>You can check the status of each<br>skill by pressing <pict Sign_SELECT>."""
Failed#0,"""An error has occurred.<br>実行していた処理を中断します。"""
Blank#0,"""-"""
Confirm_Title#0,"""Confiwm Skiwws"""
SkillInfo_Title#0,"""Skiww Detaiws"""
SkillCond_Title#0,"""Skiww Wewease Weq."""
SkillCond_None#0,"""No Wequiwements"""
SkilllistInformation#0,"""Learn skills using <%Decide>. Check skill details with <%NextTabDetails>."""
SkilllistInformationInQuest#0,"""You cannot learn or upgrade skills during quests. Check skill details with <%NextTabDetails>."""
SkilllistInformation_Vita#0,"""Learn skills using <%Decide>. Check skill details with <pict Sign_SELECT>."""
SkilllistInformationInQuest_Vita#0,"""You cannot learn or upgrade skills during quests. Check skill details with <pict Sign_SELECT>."""
DBAction#0,"""Dawk Bwast"""
plt_DH1Ak_Barrier#0,"""Darkness <br>Wall"""
plt_DH1Ak_Dash#0,"""Physical <br>Dash"""
plt_DH1Ak_Shock#0,"""Ultimate <br>Impact"""
plt_DH1Ak_HPUp#0,"""HP Up"""
plt_DH1Ak_PPUp#0,"""PP Up"""
plt_DH1Ak_AtpAllUp#0,"""Aww ATK Up"""
plt_DH1Ak_DfpAllUp#0,"""Aww DEF Up"""
plt_DH1Ak_NormalAtk1#0,"""Normal ATK <br>Combo 1"""
plt_DH1Ak_NormalAtk2#0,"""Normal ATK <br>Combo 2"""
plt_DH1Ak_AttackAdvance#0,"""D Attack <br>Advance"""
plt_DH1Ak_PA1Up#0,"""Tyrant <br>Strike Up"""
plt_DH1Ak_PA2Up#0,"""Infinity <br>Rush Up"""
plt_DH1Ak_PA3Up#0,"""Punishment <br>Knuckle Up"""
plt_DH1Ak_PPSave#0,"""PP Save"""
plt_DH1Ak_PA3ShortCharge#0,"""Punishment <br>Short Charge"""
plt_DH1Ak_TimeCountAtkUp#0,"""Escalation <br>Power"""
plt_DH1Ak_StunAtk#0,"""*****"""
plt_DH1Ak_SnatchStep#0,"""Violence <br>Step"""
plt_DH1Ak_Heal#0,"""Bloody <br>Heal"""
plt_DH2Te_Dash#0,"""Sharp <br>Glide"""
plt_DH2Te_SubWeapon#0,"""Wisdom <br>Force"""
plt_DH2Te_Fall#0,"""Dive <br>Assault"""
plt_DH2Te_HPUp#0,"""HP Up"""
plt_DH2Te_PPUp#0,"""PP Up"""
plt_DH2Te_AtpAllUp#0,"""Aww ATK Up"""
plt_DH2Te_DfpAllUp#0,"""Aww DEF Up"""
plt_DH2Te_PA1Up#0,"""Ortho Sabarta <br>Advance"""
plt_DH2Te_PA2Up#0,"""Convergent <br>Ray Up"""
plt_DH2Te_PA3Up#0,"""Gamma <br>Burst Up"""
plt_DH2Te_PenetrationShot#0,"""D. Attack <br>Advance"""
plt_DH2Te_PPSave#0,"""PP Save"""
plt_DH2Te_StepShot#0,"""Counter <br>Step"""
plt_DH2Te_PA1LockOnUp#0,"""Ortho Sabarta <br>Shot Up"""
plt_DH2Te_StepAdvance#0,"""D. Step <br>Advance"""
plt_DH2Te_PerfectKeeper#0,"""D. Perfect <br>Keeper"""
plt_DH2Te_Heal#0,"""Steel <br>Knowledge"""
plt_DH2Te_DamageBonus#0,"""Dust Sweep"""
plt_DH2Te_SPLaser#0,"""Diffusion <br>Ray"""
DBAction#1,"""Harness the power of the<br>Dark Falz within to fight"""
plt_DH1Ak_Barrier#1,"""Genewates a bawwiew that attwacts enemies."""
plt_DH1Ak_Dash#1,"""Pewfowms a high speed dash fow a wimited time."""
plt_DH1Ak_Shock#1,"""Release power and cause massive<br>area damage."""
plt_DH1Ak_HPUp#1,"""Waise maximum HP."""
plt_DH1Ak_PPUp#1,"""Waise maximum PP."""
plt_DH1Ak_AtpAllUp#1,"""Incweases offensive stats."""
plt_DH1Ak_DfpAllUp#1,"""Incweases defensive stats."""
plt_DH1Ak_NormalAtk1#1,"""Adds a 4th combo attack."""
plt_DH1Ak_NormalAtk2#1,"""Adds a 5th combo attack."""
plt_DH1Ak_AttackAdvance#1,"""Gain a damage bonus to nowmaw attacks."""
plt_DH1Ak_PA1Up#1,"""Incweases Tywant Stwike damage."""
plt_DH1Ak_PA2Up#1,"""Incweases Infinity Wush damage."""
plt_DH1Ak_PA3Up#1,"""Incweases Punishment Knuckwe damage."""
plt_DH1Ak_PPSave#1,"""Weduces PP consumption fwom Dawk Bwast muvs."""
plt_DH1Ak_PA3ShortCharge#1,"""Weduce the chawge time of Punishment Knuckwe."""
plt_DH1Ak_TimeCountAtkUp#1,"""Reduces damage received and increases<br>damage dealt over time."""
plt_DH1Ak_StunAtk#1,"""*****"""
plt_DH1Ak_SnatchStep#1,"""Deals Striking Damage with Step while<br>opening a window for Just Attacks."""
plt_DH1Ak_Heal#1,"""Heaws both you and youw neawby awwies."""
plt_DH2Te_Dash#1,"""Travel at high speed for<br>a fixed time."""
plt_DH2Te_SubWeapon#1,"""Generate a shockwave around you to<br>protect you as you attack. Can be used<br>even during other attacks."""
plt_DH2Te_Fall#1,"""Pewfowm a shawp diving attack."""
plt_DH2Te_HPUp#1,"""Waises maximum HP."""
plt_DH2Te_PPUp#1,"""Waises maximum PP."""
plt_DH2Te_AtpAllUp#1,"""Incweases offensive stats."""
plt_DH2Te_DfpAllUp#1,"""Incweases defensive stats."""
plt_DH2Te_PA1Up#1,"""Incweases Owtho Sabawta damage."""
plt_DH2Te_PA2Up#1,"""Incweases Convewgent Way damage."""
plt_DH2Te_PA3Up#1,"""Incweases Gamma Buwst damage."""
plt_DH2Te_PenetrationShot#1,"""Gain a damage bonus to nowmaw attacks."""
plt_DH2Te_PPSave#1,"""Weduces PP consumption fwom Dawk Bwast muvs."""
plt_DH2Te_StepShot#1,"""Enables a shooting attack during Step.<br>When used after avoiding an enemy attack,<br>becomes a powerful counterattack."""
plt_DH2Te_PA1LockOnUp#1,"""Increases the number of shots<br>fired by Ortho Sabarta."""
plt_DH2Te_StepAdvance#1,"""Extends invincibiwity duwing Step."""
plt_DH2Te_PerfectKeeper#1,"""Boosts damage as long as<br>HP is above a certain level."""
plt_DH2Te_Heal#1,"""Wecuvws HP when you dodge an attack."""
plt_DH2Te_DamageBonus#1,"""Boosts damage against weakened enemies."""
plt_DH2Te_SPLaser#1,"""Fire a beam formed from a torrent of<br>diffused magical power.<br>Can only be used once per activation."""
AutoWordTypeDarkerBlast#0,"""Dawk Bwast Twiggew"""
PoseForm_Title#0,"""Set the Twansfowmation Action"""
PoseForm_SubTitle_Pose#0,"""Twansfowm Pose Setting"""
PoseForm_Button_Pose#0,"""Sewect a Pose"""
PoseForm_Message#0,"""Sewect a pose to pewfowm when you use Dawk Bwast."""
ColorSetting_Title#0,"""Change Dawk Bwast Cowow"""
ColorSetting_Title_Preview#0,"""Pweview"""
ColorSetting_Title_Color#0,"""Change Dawk Bwast Cowow"""
ColorSettingButton_Reset#0,"""Undo aww"""
ColorSettingButton_Reset2#0,"""Undo"""
ColorSettingButton_Back#0,"""Back"""
ColorSettingButton_Set#0,"""Confiwm"""
ColorSettingButton_Set2#0,"""OK"""
ColorSetting_Message#0,"""You can change the color of your Dark Blast.<br>Select the color you want to be."""
ColorSetting_Help_Title#0,"""Change Dawk Bwast Cowow"""
ColorSetting_Help_Message_0#0,"""<soft_yellow>Change the color of your Dark Blast.<c>"""
ColorSetting_Help_Message_1#0,"""<soft_yellow>Set the Dark Blast color.<c>"""
ColorSetting_Item_0_0#0,"""Main Cowow Setting"""
ColorSetting_Item_0_1#0,"""Sub Cowow Setting"""
ColorSetting_Item_1_0#0,"""Main Cowow Setting"""
ColorSetting_Item_1_1#0,"""Sub Cowow Setting"""
ColorSetting_Item_2_0#0,"""Main Cowow Setting"""
ColorSetting_Item_2_1#0,"""Sub Cowow Setting"""
ColorSetting_Item_3_0#0,"""Main Cowow Setting"""
ColorSetting_Item_3_1#0,"""Sub Cowow Setting"""
ColorSetting_Confirm_Title#0,"""Confiwm Change"""
ColorSetting_Confirm_Exit#0,"""Color has been edited.<br>If you exit now, your changes will be discarded.<br><br>Is that alright?"""
ColorSetting_Confirm_Decide#0,"""Color has been edited.<br><br>Is that alright?"""
ColorSetting_Confirm_Reset#0,"""This will undo all changes.<br><br>Is that alright?"""
ColorSetting_Confirm_Reset2#0,"""This will undo an edit.<br><br>Is that alright?"""
ColorSetting_Toast_Changed#0,"""You have changed youw Dawk Bwast cowow."""
ColorSetting_Toast_Reset#0,"""Weset to defauwt cowow."""
